Name,Committee ID,Treasurer,Street_1,Street_2,City,ZIP code,state,Connected Org Name,Political Orientation,Filing frequency,Total receipts (includes both itemized and unitemized contributions),Total unitemized contributions,cash on hand,last report date,total IEs,IEs support dems,IEs oppose dems,IEs support reps,IEs oppose reps
JOBS OPPORTUNITY AND FREEDOM POLITICAL ACTION COMMITTEE - JOFPAC,C00510701,KELLY LAWLER,PO BOX 984,,WILLOWS,95988,CA,NONE,Backs Republicans,Quarterly,302600,600,76542.64,10/17/12,284712.21,0,216679,55062.21,12971
NEW DIRECTIONS FOR AMERICA,C00518555,EDWARD C SWEENEY,PO BOX 20767,,NEW YORK,10021,NY,,Backs Democrats,Quarterly,425000,0,142853,10/17/12,282147,282147,0,0,0
RESTORING OUR COMMUNITY,C00520130,ANDREA SVOBODA DAUGHERTY,555 CAPITOL MALL SUITE 1425,,SACRAMENTO,95814,CA,,Backs Democrats,Quarterly,325000,0,-55085.77,10/17/12,264892.08,201454.08,0,63438,0
AMERICAN JOBS PAC,C00513036,"BELL,, CHARLES H.","455 CAPITOL MALL, SUITE 600",,SACRAMENTO,95814,CA,,Backs Republicans,Terminated,286547,0,0,5/16/12,259693,0,0,259693,0
NATIONAL NURSES UNITED FOR PATIENT PROTECTION,C00490375,"HIETAMAKI, CAROLYN","8630 FENTON STREET, SUITE 1100",,SILVER SPRING,20910,MD,CALIFORNIA NURSES ASSOCIATION/NATIONAL,Backs Democrats,Quarterly,450000,0,140549.79,10/17/12,241771.16,241771.16,0,0,0
HOOSIERS FOR JOBS,C00513044,"BELL, JR., CHARLES H.","455 CAPITOL MALL, SUITE 600",,SACRAMENTO,95814,CA,NONE,Backs Republicans,Quarterly,268850,100,0,10/17/12,239328.96,0,0,0,175186.98
PROGRESSIVE KICK INDEPENDENT EXPENDITURES,C00492595,JOSHUA GROSSMAN,1904 FRANKLIN STREET SUITE 725,,OAKLAND,94612,CA,NONE,Backs Democrats,Quarterly,803574.92,2098.62,44172.74,11/26/12,228388.32,46715.74,170672.38,0,11000.2
STRONG AMERICA NOW SUPER PAC,C00505081,MIKE GEORGE,1565 WEST MAIN STREET STE 208-165,,LEWISVILLE,75067,TX,,Backs Republicans,Quarterly,249434.69,0,7477.43,9/30/12,220146.91,0,0,220146.91,0
AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP,C00514224,DAVID BAUER,2150 RIVER PLAZA DR #150,,SACRAMENTO,95833,CA,,Backs Republicans,Monthly,207150,150,72177.59,10/17/12,211581.28,0,130778.59,80802.69,0
REVOLUTION PAC,C00499335,DAN JOHNSON,3149 DUNDEE RD SUITE 176,,NORTHBROOK,60062,IL,,Backs Republicans,Quarterly,1249489.17,309526.42,-63374.6,10/17/12,211495.87,0,0,211495.87,0
WORKING FAMILIES FOR HAWAII,C00490193,"FUJIMURA, GUY",66 QUEEN STREET,SUITE 3902,HONOLULU,96813,HI,HAWAII GOVERNMENT EMPLOYEES ASSOCIATIO,Backs Democrats,Quarterly,206434.51,0,1529.44,11/26/12,207174.6,38262.09,33887.08,0,135025.43
VETERANS FOR A STRONG AMERICA ACTION GROUP,C00521302,JOEL A ARENDS,PO BOX 1246,,SIOUX FALLS,57101,SD,,Backs Republicans,Quarterly,73140,0,5,10/17/12,207087.55,0,0,162087.55,45000
LOUISIANA PROSPERITY FUND,C00528034,CHRIS MARSTON,2851 JOHNSTON ST #542,,LAFAYETTE,70503,LA,NONE,Unassigned,Quarterly,45001,0,21945.41,10/17/12,204406.52,0,0,0,204406.52
RESTORING PROSPERITY FUND,C00498261,"AZEVEDO, MARY E",7660 FAY AVE. SUITE 314,,LA JOLLA,92037,CA,NONE,Backs Republicans,Quarterly,433256,3506,3820.85,9/30/12,202872.89,0,0,202872.89,0
CITIZENS 4 ETHICS IN GOVERNMENT,C00524082,,,,,,TN,,Backs Democrats,Quarterly,190000,0,359.48,9/30/12,201288.52,0,0,10000,191288.52
