Name,Committee ID,Treasurer,Street_1,Street_2,City,ZIP code,state,Connected Org Name,Political Orientation,Filing frequency,Total receipts (includes both itemized and unitemized contributions),Total unitemized contributions,cash on hand,last report date,total IEs,IEs support dems,IEs oppose dems,IEs support reps,IEs oppose reps
ADVANCING MANUFACTURING AND INDUSTRY IN AMERICA PAC,C00510115,ROBERT PATRICK CVETICHAN,8273 BEAUMONT DR,,MENTOR,44060,OH,,Unassigned,Quarterly,,,,,0,0,0,0,0
ALASKANS STANDING TOGETHER,C00489385,"DONATELLI, BARBARA",PO BOX 243454,,ANCHORAGE,99524,AK,,Backs Republicans,Quarterly,8337.4,0,21037.85,10/17/12,0,0,0,0,0
AMERICA FOR AMERICANS,C00514539,JOHN PIETRASZ,PO BOX 361930,,STRONGSVILLE,44136,OH,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICA'S FAMILIES FIRST ACTION FUND,C00487744,"RUDD, DAVID","1155 CONNECTICUT AVENUE, NW",SUITE 600,WASHINGTON,20036,DC,NONE,Backs Democrats,Quarterly,160373.7,0,111607.84,10/17/12,0,0,0,0,0
AMERICA'S SUPER ALLIANCE POLITICAL ACTION COMMITTEE,C00507541,DANIEL HIBMA,215 S WASHINGTON SQ SUITE 210,,LANSING,48933,MI,,Unassigned,Quarterly,500,0,437,9/30/12,0,0,0,0,0
AMERICAN CITIZENS OF MODEST MEANS A COMM,C00498725,RONNIE MANNS,1623 HULIN STREET,,ROCKFORD,61102,IL,,Unassigned,Quarterly,0,0,0,6/30/12,0,0,0,0,0
SICK AND TIRED OF WASHINGTON,C00507566,"MCLELLAN, MARY",201 TOWNSEND ST,STE 923,LANSING,48933,ID,NONE,Unassigned,Quarterly,75000,0,151.15,11/26/12,0,0,0,0,0
AMERICAN FREEDOM AND GROWTH,C00502120,KEVIN KEOGH,6219 PALMA DEL MAR BLVD,,ST PETERSBURG,33715,FL,,Unassigned,Terminated,,,,,0,0,0,0,0
AMERICAN LATINO ALLIANCE POLITICAL ACTION COMMITTEE,C00509851,JOE VELASQUEZ,1617 INLET COURT,,RESTON,22090,VA,NONE,Unassigned,Quarterly,0,0,0,11/26/12,0,0,0,0,0
AMERICAN LEGACY ALLIANCE,C00500512,TIMOTHY HATHAWAY,PO BOX 1964,,ALEXANDRIA,22314,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN PHOENIX SUPERPAC,C00503839,MICHAEL BENJAMIN,101 EAST OKEECHOBEE ROAD,,HIALEAH,33010,FL,,Unassigned,Terminated,,,,,0,0,0,0,0
AMERICAN PROMISE PAC,C00513887,GERARD TOBIN OWEN DRUMM,1 UNIVERSITY PLACE #3F,,NEW YORK,10003,NY,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN VALUES,C00513614,JESSE TANGKHPANYA,PO BOX 250654,,GLENDALE,91225,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN WORKING FAMILIES,C00511915,JOHN BALDUZZI,107 SOUTH WEST STREET #527,,ALEXANDRIA,22314,VA,NONE,Unassigned,Quarterly,3622,530,385.92,11/26/12,0,0,0,0,0
AMERICANLP,C00507244,TJ WALKER,34 WEST 38TH ST - FLR 5,,NEW YORK,10018,NY,,Unassigned,Terminated,0,0,0,5/18/12,0,0,0,0,0
AMERICANS FOR MORE RHOMBUS,C00512582,ADAM KIELICH,10864 ASTOR DRIVE,,KELLER,76244,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR NEW LEADERSHIP,C00485821,"HUSSON, BRENT",P.O. BOX 80252,,LAS VEGAS,89180,NV,NONE,Unassigned,Quarterly,18113.81,11973.15,461.06,12/31/11,0,0,0,0,0
AMERICANS WANTING TRUTH IN POLITICS,C00514562,JOSEPH JANKOWSKI,PO BOX 1302,,HARTWELL,30643,GA,,Unassigned,Quarterly,,,,,0,0,0,0,0
ANTI-CORRUPTION REVOLUTION SUPERPAC; THE,C00514281,LISA HOANG,1433 WEST MUKILTEO BLVD,,EVERETT,98203,WA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
ARIZONA FOR LIBERTY,C00515429,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
ARTICLEIISUPERPAC,C00507533,GARY M WILMOTT,POB 940661,,SIMI VALLEY,93094,CA,,Unassigned,Quarterly,17300,700,14723.55,9/30/12,0,0,0,0,0
BETTER TOMORROW SUPER PAC,C00500264,TRAVIS D KELLOGG,4901 INDIAN VALLEY RD,,BIRMINGHAM,35244,AL,,Unassigned,Quarterly,,,,,0,0,0,0,0
BLYTH AMERICA,C00513218,JOHN BLYTH,6110 S UNIVERSITY AVE,,CHICAGO,60637,IL,,Unassigned,Quarterly,,,,,0,0,0,0,0
BRADY BUNCH PAC,C00503557,AINA ABIODUN,137 MONTAGUE ST SUITE 229,,BROOKLYN,11201,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
BUCKET TEA PARTY POLITICAL ACTION COMMITTEE,C00499004,ROBERT J TAYLOR,6101-16TH STREET NW,BOX #403,WASHINGTON,20011,DC,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
BUILDING A BETTER BLUEGRASS INC,C00509679,MICHAEL LAWRENCE,400 WHITE OAKS BLVD,,BRIDGEPORT,26330,WV,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
CALIFORNIANS FOR FISCALLY CONSERVATIVE LEADERSHIP,C00484295,"AYALA, NANCY","46575 ROAD 417, BUILDING C",,COARSEGOLD,93614,CA,NONE,Unassigned,Quarterly,2.68,0,3070.54,9/30/12,0,0,0,0,0
CARMEN'S LIST,C00493718,MELISSA AILEEN LOPEZ,PO BOX 141098,,ORLANDO,32814,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
CAUSEPAC,C00502658,JEFFREY GUILLOT,PO BOX 465 RADIO CITY STATION,,NEW YORK,10019,NY,,Unassigned,Quarterly,0,0,1178.01,9/30/12,0,0,0,0,0
CENTRAL PENNSYLVANIA REPUBLICAN COUNCIL,C00513010,R JOHN KENNEDY,PO BOX 715,,CAMP HILL,17001,PA,,Unassigned,Terminated,,,,,0,0,0,0,0
CHRISTIANS FOR A CHANGE,C00513051,ROGER STEVEN SMITH,4619 N RAVENSWOOD SUITE 201-A,C/O COMPASS MEDIA,CHICAGO,60640,IL,,Unassigned,Quarterly,,,,,0,0,0,0,0
CHRISTINEPAC,C00492215,"KILGORE, PAUL",PO BOX 4203,,WILMINGTON,19807,DE,,Backs Republicans,Quarterly,480117.62,76821.61,42802.86,9/30/12,0,0,0,0,0
CITIZENS AGAINST SUPER PACS INC,C00511352,BROOKS HARRINGTON,PO BOX 242719,,LITTLE ROCK,72223,AR,NONE,Unassigned,Quarterly,0,0,35,9/30/12,0,0,0,0,0
CITIZENS AGAINST THE PERIPHERAL CANAL AND OTHER WASTEFUL PROJECTS,C00513796,"SUTTON, JAMES","150 POST STREET, SUITE 405",,SAN FRANCISCO,94108,CA,NONE,Unassigned,Quarterly,5000,0,0,7/12/12,0,0,0,0,0
CITIZENS ALLIANCE FOR BETTER CANDIDATES,C00491811,JOSEPH P ODDO,2404 BARRACKS CT SUITE 1,,CHARLOTTESVILLE,22901,VA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
CITIZENS BENIGHTED PAC,C00514117,ANDREW GILLSTRAP,2169 CLIFFBROOK AVE,,PENSACOLA,32526,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
CITIZENS FIRED UP SUPER PAC,C00509505,PATRICIA MCBRIDE,2761 GARDEN ST,,WASCO,93280,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
CITIZENS FOR A BETTER KANSAS,C00511170,STEPHEN CAMPBELL,1003 EAST 9TH AVENUE,,WINFIELD,67156,KS,,Unassigned,Quarterly,,,,,0,0,0,0,0
CITIZENS FOR ECONOMIC AND NATIONAL SECURITY,C00487199,"LAWLER, KELLY",PO BOX 984,,WILLOWS,95988,CA,NONE,Unassigned,Quarterly,1.88,0,1292.9,10/17/12,0,0,0,0,0
CITIZENS FOR GOOD GOVERNMENT,C00515031,PATRICIA O'CALLAGHAN,136 OSBORN ROAD,,RYE,10580,NY,,Backs Republicans,Quarterly,35000,0,3066.05,9/30/12,0,0,0,0,0
CITIZENS FOR JUSTICE,C00510800,"MARK A MCGINNIS, ESQ",545 E TOWN ST,,COLUMBUS,43215,OH,NONE,Unassigned,Quarterly,1135.05,0,0,10/30/12,0,0,0,0,0
CITIZENS PROTEST NON PROFIT INC,C00496927,SIDDIQ MUMIN,1360 REGENT ST SUITE 157,,MADISON,53715,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
CITIZENS UNITED SUPER PAC LLC,C00497420,LAUREN CATTS,1006 PENNSYLVANIA AVE SE,,WASHINGTON,20003,DC,CITIZENS UNITED,Unassigned,Quarterly,,,,,0,0,0,0,0
CIVITAS,C00509810,THOMAS PANUZIO,6340 SOUTH 3000 EAST SUITE 401,,SALT LAKE CITY,84121,UT,,Unassigned,Quarterly,,,,,0,0,0,0,0
COALITION FOR AMERICAN VALUES PAC,C00506113,BRENT DOWNS,119 S. EMERSON ST. #231,,MOUNT PROSPECT,60056,IL,,Unassigned,Quarterly,69763,17398,-176.83,9/30/12,0,0,0,0,0
COMMITTEE FOR A NEW START IN THE RIGHT DIRECTION,C00490920,"COPELAND, RITA",5429 MADISON AVENUE,,SACRAMENTO,95841,CA,,Unassigned,Quarterly,0,0,159.82,9/30/12,0,0,0,0,0
CONCERNED TAXPAYERS OF AMERICA,C00488437,"MILLER, JASON","10 E STREET, SE",,WASHINGTON,20003,DC,NONE,Unassigned,Quarterly,20000,0,5176.47,9/30/12,0,0,0,0,0
CONGRESSIONAL ELECTIONS PAC,C00512889,JONATHAN MARTIN,1739 MAYBANK HIGHWAY STE T-346,,CHARLESTON,29412,SC,,Unassigned,Terminated,,,,,0,0,0,0,0
DAMIAN C PALMER AND JACK C PILGRIM FOR A BETTER AMERICA SUPER PAC,C00510719,JACK C PILGRIM,PO BOX 8611,,SPRINGFIELD,65804,MO,SONS AND DAUGHTERS OF LIBERTY,Unassigned,Quarterly,,,,,0,0,0,0,0
DEFENDING LIBERTY,C00512533,CODY RUTLEDGE WILSON,PO BOX 301765,,AUSTIN,78703,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
DOGS AGAINST ROMNEY,C00513572,SHERRY MORGENWECK,96 BECKETT AVENUE,,BRANFORD,6405,CT,,Unassigned,Terminated,,,,,0,0,0,0,0
DOWNTOWN FOR DEMOCRACY INDEPENDENT EXPENDITURE COMMITTEE,C00494997,AUDREY GELMAN,124 MOTT STREET #25,,NEW YORK,10013,NY,,Unassigned,Quarterly,26022.38,10574.34,19239.6,9/30/12,0,0,0,0,0
ECONOMIC INNOVATION ACTION FUND,C00502880,PAUL HODES,70 FISK ROAD,,CONCORD,3301,NH,,Backs Democrats,Quarterly,345005,5,4313.29,9/30/12,0,0,0,0,0
ECONOMIC STRATEGY GROUP,C00502815,JACOB DEJONGH,427 TANTALL STREET 46919,,WILMINGTON,19801,DE,,Unassigned,Quarterly,,,,,0,0,0,0,0
EMERGENCY COMMITTEE FOR ISRAEL PAC,C00490409,"GOLDFARB, MICHAEL",11 DUPONT CIRCLE NW,SUITE 325,WASHINGTON,20036,DC,NONE,Unassigned,Quarterly,18978.84,0,733.89,9/30/12,0,0,0,0,0
EMPOWER NEBRASKA,C00515890,"WATKINS, NANCY H.",610 S. BOULEVARD,,TAMPA,33606,FL,,Unassigned,Monthly,0,0,0,10/17/12,0,0,0,0,0
ENVIRONMENT COLORADO ACTION COMMITTEE,C00490664,"GARRINGTON, MATTHEW",1536 WYNKOOP ST,STE 101,DENVER,80202,CO,,Unassigned,Quarterly,2500,0,3049.59,9/30/12,0,0,0,0,0
ENVIRONMENTAL ACTION,C00515437,JUDITH ZAMORE,PO BOX 15293,,WASHINGTON,20003,DC,NONE,Unassigned,Quarterly,15100,0,90,9/30/12,0,0,0,0,0
FAMILY FAITH FUTURE,C00511188,J EDWARD WHITEHEAD,201 E BALTIMORE STREET SUITE 600,,BALTIMORE,21202,MD,,Unassigned,Quarterly,8000,0,-2750,9/30/12,0,0,0,0,0
FLORIDA FREEDOM AND GROWTH,C00502112,KEVIN KEOGH,PO BOX 66658,,ST PETE BEACH,33736,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
FRACK ACTION USA PAC,C00490631,STEVEN AUERBACH,100 BUTTERVILLE RD,,NEW PALTZ,12561,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
FREEDOM FRONTIER ACTION FUND,C00496372,"BENSING, SCOTT",4790 CAUGHLIN PARKWAY #767,,RENO,89519,NV,,Unassigned,Quarterly,199.15,199.15,110,10/17/12,0,0,0,0,0
FREEDOM OF WEB,C00515668,LARRY GOLDMAN,275 MADISON AVENUE 14TH FLOOR,,NEW YORK,10016,NY,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
FREEDOM PATH ACTION NETWORK,C00492504,SCOTT BENSING,4790 CAUGHLIN PARKWAY #757,,RENO,89519,NV,,Unassigned,Quarterly,238.94,225,114.5,10/17/12,0,0,0,0,0
FREEDOM TRAIL ACTION NETWORK,C00509919,SCOTT BENSING,4790 CAUGHLIN PARKWAY #757,,RENO,89519,NV,NONE,Unassigned,Quarterly,125,125,110,10/17/12,0,0,0,0,0
FRIENDS FOR A DEMOCRATIC WHITE HOUSE PAC INC,C00363390,"YOUNG, MELISSA",1501 E LANSING DR #4,,EAST LANSING,48823,MI,,Unassigned,Quarterly,0,0,12.02,11/26/12,0,0,0,0,0
FRIENDS FOR DEMOCRACY IN LIBYA,C00498592,KINDE DURKEE,1212 S VICTORY BLVD,,BURBANK,91502,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
GRASSROOTS FOR LIBERTY,C00515098,VALERIE LASAM,201 SPEAR ST STE 1100,,SAN FRANCISCO,94105,CA,,Unassigned,Quarterly,31975.07,11066.34,997.17,9/30/12,0,0,0,0,0
GROW PAC,C00490292,DAVID MALPASS,28 WEST 44TH ST,,NEW YORK,10036,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
GULFSTREAM AMERICA SUPER PAC,C00512392,DEWITT TURNER,3535 PEACHTREE RD NE,SUITE 520-622,ATLANTA,30326,GA,,Unassigned,Quarterly,,,,,0,0,0,0,0
HEADQUARTERS CMTE W HOLLYWOOD/BEV HILLS/STONEWALL DEM CLUB/STONEWALL YOUNG DEMS LTD,C00487785,KINDE DURKEE,1212 S VICTORY BLVD,,BURBANK,91502,CA,,Unassigned,Quarterly,0,0,1629.96,6/30/11,0,0,0,0,0
HISPANIC VOTE POLITICAL ACTION COMMITTEE,C00509802,DENNIS J GARCIA,2328 CHAMPLAIN STREET NW SUITE 401,,WASHINGTON,20009,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
HOOSIERS UNITED AND STRONG PAC,C00514547,KELLY CASADAY,329 PIERPONT AVENUE,,SALT LAKE CITY,84101,UT,,Unassigned,Quarterly,,,,,0,0,0,0,0
I RIDE INSIDE - THE PETS AGAINST ROMNEY COMMITTEE (A/K/A I RIDE INSIDE),C00513598,SHERRY MORGENWECK,96 BECKETT AVENUE,,BRANFORD,6405,CT,,Unassigned,Terminated,,,,,0,0,0,0,0
INTERNET; THE,C00508945,JOSHUA FREEDMAN,2901 SMALLMAN ST SUITE 2E,,PITTSBURGH,15201,PA,,Unassigned,Quarterly,,,,,0,0,0,0,0
JOE SIX PAC,C00511022,RICHARD YU,4854 HINMAN,,HANOVER,3755,NH,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
JUST DRINK THE KOOLAID,C00513879,JAMES MOYER,PO BOX 344,,LOUISA,23093,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
LA FORWARD INC,C00503458,TARA SAXON,PO BOX 104,,BATON ROUGE,70821,LA,,Unassigned,Quarterly,5000,0,931.96,9/30/12,0,0,0,0,0
LEGISLATING EFFECTIVE AMERICAN DEMOCRACY,C00502963,RAYMOND BECHARD,90 MAIN STREET SUITE 213,,CENTERBROOK,6475,CT,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
LIBERTY PRINCIPLES PAC INC,C00514299,DAN PROFT,505 N LAKE SHORE DRIVE #516,,CHICAGO,60611,IL,,Backs Republicans,Quarterly,212300,0,209936.83,9/30/12,0,0,0,0,0
LIVE FREE OR DIE PAC,C00510230,EDWIN W COUSE,37560 SIERRA HIGHWAY SUITE 839,,PALMDALE,93551,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
LOUISIANA TRUTH PAC,C00485854,James S Burland,516 ST PHILIP STREET,,NEW ORLEANS,70116,LA,NONE,Unassigned,Quarterly,21250.01,0,5224.37,9/30/12,0,0,0,0,0
MEN AGAINST PROSTITUTION AND TRAFFICKING,C00501247,RAYMOND BECHARD,PO BOX 498,,OLD SAYBROOK,6475,CT,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
MOVING ARIZONA FORWARD,C00511782,CHARLA BAILEY,PO BOX 1076,,CORTARO,85652,AZ,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
MY AMERICA INC,C00494799,KHURRUM WAHID,2643 GULF TO BAY BLVD,STE 1560-421,CLEARWATER,33759,FL,,Unassigned,Quarterly,18410.18,0,94.56,9/30/12,0,0,0,0,0
NATIONAL CAMPAIGN FUND,C00437822,"LACY, JAMES V.","30011 IVY GLENN DRIVE, SUITE 223",,LAGUNA NIGUEL,92677,CA,,Unassigned,Quarterly,14195,14195,775.31,11/26/12,0,0,0,0,0
NATIONAL REPUBLICAN WOMEN'S COMMITTEE,C00505701,LINDSEY EILON,PO BOX 230015,,GRAND RAPIDS,49523,MI,NONE,Backs Republicans,Quarterly,5299.65,765,0,10/3/12,0,0,0,0,0
NATIONAL SECURITY FOR AMERICA POLITICAL ACTION COMMITTEE,C00510222,CORIE MATTAR,2104 SURREY RD,,SACRAMENTO,95815,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW HOPE PAC,C00503086,DEVIN SMITH,777 S FIGUEROA STREET STE 4050,,LOS ANGELES,90017,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW HOUSE INDEPENDENT EXPENDITURE COMMITTEE,C00488940,JIM GONZALEZ,607 14TH STREET NW SUITE 800,,WASHINGTON,20005,DC,,Unassigned,Quarterly,0,0,9564.99,10/17/12,0,0,0,0,0
NEW INDEPENDENT PARTY,C00508556,MICHAEL J BARRON,5904 MOSS WOOD LANE,,MCLEAN,22101,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW POWER PAC,C00489252,"MAHONEY, HEATHER ROE MS",PO BOX 1450,,LONDON,40743,KY,KENTUCKIANS FOR THE COMMONWEALTH,Unassigned,Quarterly,28937.94,375,201.28,10/17/12,0,0,0,0,0
NO 2 SIDES PAC,C00490656,KINDE DURKEE,1212 S VICTORY BLVD,,BURBANK,91502,CA,,Unassigned,Quarterly,0,0,13572.72,6/30/11,0,0,0,0,0
OCCUPY WALL STREET POLITICAL ACTION COMMITTEE (OCCUPY PAC),C00512665,JOHN PAUL THORNTON,942 TRACEY LANE,,DECATUR,35601,AL,OCCUPY WALL STREET,Unassigned,Quarterly,,,,,0,0,0,0,0
OCCUPYPOLITICS PAC INC,C00507657,JAMES COLVIN FARRAR JR,850 N JEFFERSON STREET A4,,JACKSON,39202,MS,,Unassigned,Quarterly,3450,0,20.92,3/31/12,0,0,0,0,0
OHIO STATE TEA PARTY; THE,C00490383,JACOB JEFFERS,102 EAST INTERSTATE ST,,BEDFORD,44146,OH,,Unassigned,Quarterly,0,0,2089,9/30/12,0,0,0,0,0
OUR FUTURE OHIO PAC,C00490433,ANNE L MEYERS,315 EAST STONEBROOKE COURT,,CHAGRIN FALLS,44022,OH,,Unassigned,Quarterly,5075,0,0,6/30/12,0,0,0,0,0
OUR VOICE PAC,C00497412,"FEE, ROBERT",PO BOX 8262,,RENO,89507,NV,NONE,Backs Republicans,Quarterly,206773.72,52450.9,72014.96,9/30/12,0,0,0,0,0
PARENTS FOR A BRIGHTER FUTURE,C00503193,STEVE BROCK,PO BOX 308,,SEDALIA,65302,MO,,Unassigned,Quarterly,,,,,0,0,0,0,0
PARTNERSHIP FOR AMERICA'S FUTURE,C00490219,BARRY BENNETT,1006 PENDLETON STREET,,ALEXANDRIA,22314,VA,,Unassigned,Quarterly,9096.85,0,0,6/30/12,0,0,0,0,0
PATRIOTS FOR A BETTER AMERICA PAC,C00498352,GARY R LEIGH,1128 WALNUT STREET,,DEARBORN,48124,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
TEXAS BOW TIE PAC,C00515056,"FRINZI, JAMES NICHOLAS",4611 BEE CAVES RD.,#211,AUSTIN,78746,TX,TEXAS BOW TIE PAC,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
PEOPLE'S SUPERPAC; THE,C00513705,KATILYN WILKINS,910 23RD AVENUE,,SEATTLE,98122,WA,,Unassigned,Quarterly,,,,,0,0,0,0,0
"PLAYOFF PAC, INC.",C00467225,"MORGAN, BRYSON",PO BOX 34593,,WASHINGTON,20043,DC,,Unassigned,Quarterly,16924.17,2800.37,1959.35,9/30/12,0,0,0,0,0
PRO-LIFE SUPER PAC,C00513697,DANIEL SKERBITZ,PO BOX 35404,,TULSA,74153,OK,,Unassigned,Quarterly,,,,,0,0,0,0,0
PROGRESSOHIO PAC,C00489765,"MCGINNIS, MARK A ESQ.",545 E TOWN ST,,COLUMBUS,43215,OH,,Unassigned,Quarterly,0,0,143.49,9/30/12,0,0,0,0,0
PROTECT ALASKA'S FUTURE,C00489914,MYRNA M MAYNARD,PO BOX 90305,,ANCHORAGE,99509,AK,,Unassigned,Quarterly,,,,,0,0,0,0,0
PROTECT AMERICA TODAY,C00512012,ROBERT H BROCKHAUS,1701 PENNSYLVANIA AVENUE NW,SUITE 300,WASHINGTON,20006,DC,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
PROTECTING AMERICA'S RETIREES,C00483883,"COYLE, EDWARD F MR",815 16TH STREET NW 4TH FLOOR NORTH,,WASHINGTON,20006,DC,,Unassigned,Quarterly,6153,0,6787.16,9/30/12,0,0,0,0,0
REACHING STARS - SECURING OUR FUTURE,C00511477,ERIK HANLEY,10717 BRIGHTON RIDGE COURT,,SAN DIEGO,92131,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
REAL LEADER PAC,C00508150,ROBERT PERKINS,405 LEXINGTON AVE 26TH FL,C/O ARMADA PUBLISHING,NEW YORK,10174,NY,NONE,Backs Republicans,Quarterly,250000,0,1200.63,9/30/12,0,0,0,0,0
REBUILDING AMERICA,C00502369,ACKLEY PADILLA,777 S FIGUEROA ST STE 4050,,LOS ANGELES,90017,CA,,Unassigned,Terminated,21000,0,0,4/25/12,0,0,0,0,0
RENEW DELAWARE PAC,C00503573,KELLY C CASADAY,PO BOX 1312,,REHOBOTH BEACH,19971,DE,,Unassigned,Quarterly,,,,,0,0,0,0,0
REPUBLICAN TRUTH SQUAD PAC,C00506972,WILLIAM GREENE,PO BOX 105603 #33585,,ATLANTA,30348,GA,,Unassigned,Quarterly,,,,,0,0,0,0,0
RES PUBLICA,C00514216,JARON SPERLING,PO BOX 2542,,APOPKA,32712,FL,,Unassigned,Quarterly,0,0,25,9/30/12,0,0,0,0,0
RESTART CONGRESS POLITICAL ACTION COMMITTEE,C00507509,TERRI L LAND,215 S WASHINGTON SQ SUITE 210,,LANSING,48933,MI,,Unassigned,Quarterly,2165.67,1836,222.11,9/30/12,0,0,0,0,0
RESTORE OUR AMERICA POLITICAL ACTION COMMITTEE,C00492173,"CLARK, JOHN R.",205 WORTH AVENUE SUITE 201,,PALM BEACH,33480,FL,NONE,Unassigned,Quarterly,21099.49,10139.49,2.96,6/30/12,0,0,0,0,0
RESTORING AMERICA PROJECT,C00514869,"SELATY, TIMOTHTY MR. JR.","1944 W. LARKSPUR DRIVE, H 4",,PHOENIX,85029,AZ,,Unassigned,Monthly,3612.77,112.77,112.77,10/17/12,0,0,0,0,0
RGA RIGHT DIRECTION PAC,C00490730,"ADAMS, MICHAEL",1747 PENNSYLVANIA AVE NW SUITE 250,,WASHINGTON,20006,DC,NONE,Backs Republicans,Quarterly,8309096.07,0,319811.46,10/17/12,0,0,0,0,0
RON PAUL VOLUNTEERS PAC,C00507921,HECTOR ROOS,7740 CAMINO REAL #G308,,MIAMI,33143,FL,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
SMALL BUSINESS POLITICAL ALLIANCE POLITICAL ACTION COMMITTEE (SBPA PAC),C00497032,CABELL HOBBS,1390 CHAIN BRIDGE ROAD #515,,MCLEAN,22101,VA,,Unassigned,Monthly,1026.95,0,629.47,10/17/12,0,0,0,0,0
SOLUTIONS 2012,C00505719,CHARLIE SMITH,700 17TH STREET SUITE 2000,,DENVER,80202,CO,NONE,Unassigned,Quarterly,67293.62,41293.62,3737.52,9/30/12,0,0,0,0,0
SPEAK OUT FOR AMERICA PAC,C00488510,"HOLM, ANTHONY",PO BOX 83,,ALEXANDRIA,22313,VA,NONE,Unassigned,Quarterly,19171,0,48992.25,11/26/12,0,0,0,0,0
SPEECHNOW.ORG,C00488783,"KEATING, DAVID",P.O. BOX 18773,,WASHINGTON,20036,DC,,Unassigned,Quarterly,8664.72,125,4000.73,10/17/12,0,0,0,0,0
SPIRIT OF AMERICA SOLUTIONS,C00506543,MICHAEL D PHILLIPS,931 VILLAGE BLVD,SUITE #905-367,WEST PALM BEACH,33409,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
STOP PUBLIC UNIONS NOW PAC,C00494195,WILLIAM O BLACK,PO BOX 1693,,ALEXANDRIA,22313,VA,NONE,Unassigned,Quarterly,41216,29516,1100.09,9/30/12,0,0,0,0,0
STUDENTS MOTHERS AND CONCERNED CITIZENS PAC SMACC PAC,C00421024,MARY D WRIGHT,20 STONEWALL ROAD,,BYHAILIA,38611,MS,MARY D WRIGHT ENDURANCE GRACS,Unassigned,Quarterly,,,,,0,0,0,0,0
STUDENTS WINNING AMERICAN GOVERNMENT,C00515551,RYAN STEPHEN SHYMANSKY,10 CHESTNUT LANE,,CHESWICK,15024,PA,,Unassigned,Terminated,,,,,0,0,0,0,0
TAXPAYER NETWORK PAC,C00510107,KELLY LAWLER,2351 SUNSET BLVD SUITE 1770 #418,,ROCKLIN,95765,CA,NONE,Unassigned,Quarterly,0,0,0,10/17/12,0,0,0,0,0
TEA PAC,C00504464,CHERYL SHERRELL,313 S WASHINGTON SQUARE,,LANSING,48933,MI,,Unassigned,Quarterly,0,0,25,9/30/12,0,0,0,0,0
TEA PARTY EXPRESS PRESIDENTIAL CAMPAIGN,C00510214,KELLY LAWLER,PO BOX 984,,WILLOWS,95988,CA,NONE,Unassigned,Quarterly,0,0,0,10/17/12,0,0,0,0,0
TEXANS FOR ACTION PAC,C00515403,ALBERTO ESCOBEDO,610 VALLE ALTO DR,,LOS FRESNOS,78566,TX,,Unassigned,Quarterly,0,0,0,10/17/12,0,0,0,0,0
TEXAS AGGIES FOR PERRY 2012,C00505180,DOUGLAS J BRICKLEY,700 LOUISIANA SUITE 2770,,HOUSTON,77002,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
TEXAS STRATEGIC ALLIANCE PAC,C00515387,MARIA G ARIZMENDI,2727 OLD ALICE RD #32,,BROWNSVILLE,78521,TX,,Unassigned,Quarterly,0,0,0,10/17/12,0,0,0,0,0
TRIPLE CROWN PROJECT INC,C00501619,THOMAS SMITH,5729 LEBANON RD SUITE 144,,FRISCO,75034,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
